Month;Al Price;Cu Price;Au Price;Ag Price;Sn Price
01/02/91;1504,60;2449,38;363,83;3,74;5583,70
01/03/91;1496,00;2409,63;363,34;3,94;5517,40
01/04/91;1391,86;2472,04;358,38;3,98;5560,00
01/05/91;1296,05;2305,88;356,95;4,05;5701,70
01/06/91;1275,15;2219,28;366,72;4,39;5710,60
01/07/91;1296,78;2236,28;367,69;4,35;5669,60
01/08/91;1256,45;2233,19;356,31;3,96;5638,80
01/09/91;1211,81;2324,57;348,74;4,04;5570,30
01/10/91;1150,03;2363,64;358,69;4,12;5549,60
01/11/91;1134,80;2379,84;360,17;4,07;5505,50
01/12/91;1097,55;2223,14;361,73;3,94;5510,10
01/01/92;1177,07;2139,23;354,45;4,11;5476,90
01/02/92;1266,83;2205,97;353,91;4,15;5615,70
01/03/92;1280,47;2227,33;344,34;4,11;5632,00
01/04/92;1317,05;2215,33;338,62;4,05;5838,90
01/05/92;1306,79;2216,52;337,24;4,07;6121,10
01/06/92;1275,55;2299,20;340,81;4,06;6618,80
01/07/92;1313,05;2520,32;352,72;3,97;6989,40
01/08/92;1305,05;2521,64;343,06;3,81;6780,40
01/09/92;1269,61;2414,06;345,43;3,77;6643,20
01/10/92;1173,78;2249,15;344,38;3,75;6016,70
01/11/92;1159,05;2158,32;335,02;3,77;5723,00
01/12/92;1207,10;2206,82;334,82;3,73;5756,20
01/01/93;1206,76;2256,85;329,01;3,68;5900,90
01/02/93;1201,85;2212,60;329,31;3,66;5790,90
01/03/93;1151,33;2152,59;330,08;3,65;5659,40
01/04/93;1108,53;1949,88;342,15;3,95;5590,90
01/05/93;1123,96;1794,50;367,18;4,46;5503,50
01/06/93;1165,30;1853,42;371,89;4,38;5112,70
01/07/93;1202,13;1927,16;392,19;5,02;4972,60
01/08/93;1172,14;1947,45;378,84;4,84;4809,30
01/09/93;1115,38;1861,86;355,28;4,22;4493,60
01/10/93;1087,10;1646,40;364,18;4,34;4681,10
01/11/93;1039,81;1630,02;373,83;4,53;4640,90
01/12/93;1094,30;1724,19;383,30;4,97;4777,90
01/01/94;1174,59;1805,35;386,88;5,15;4942,80
01/02/94;1269,93;1866,40;381,91;5,25;5443,40
01/03/94;1289,03;1914,87;384,13;5,44;5405,40
01/04/94;1278,72;1881,82;377,27;5,35;5385,70
01/05/94;1322,59;2150,60;381,43;5,42;5504,40
01/06/94;1400,58;2364,20;385,64;5,39;5509,20
01/07/94;1492,42;2458,19;385,49;5,28;5311,20
01/08/94;1455,36;2406,23;380,36;5,20;5161,50
01/09/94;1569,22;2505,93;391,58;5,52;5321,10
01/10/94;1698,05;2547,67;389,77;5,45;5473,60
01/11/94;1892,59;2802,45;384,39;5,19;6161,10
01/12/94;1878,31;2985,30;379,29;4,78;5946,80
01/01/95;2060,55;3008,93;378,55;4,77;6199,30
01/02/95;1916,15;2877,65;376,64;4,72;5478,30
01/03/95;1805,07;2924,04;382,12;4,65;5532,40
01/04/95;1849,00;2903,50;391,03;5,48;5872,10
01/05/95;1762,69;2773,31;385,22;5,56;5926,50
01/06/95;1780,05;2994,64;387,56;5,36;6670,70
01/07/95;1860,10;3075,67;386,23;5,16;6668,90
01/08/95;1888,32;3036,84;383,67;5,40;6992,30
01/09/95;1760,83;2915,52;383,06;5,43;6328,10
01/10/95;1674,32;2813,55;383,14;5,37;6220,70
01/11/95;1654,07;2977,36;385,31;5,32;6386,90
01/12/95;1656,74;2926,26;387,44;5,18;6289,50
01/01/96;1589,34;2616,41;399,45;5,46;6271,60
01/02/96;1591,55;2537,71;404,76;5,66;6195,50
01/03/96;1612,48;2561,02;396,21;5,52;6196,40
01/04/96;1587,23;2595,78;392,85;5,42;6480,90
01/05/96;1589,26;2658,26;391,93;5,37;6412,40
01/06/96;1482,48;2173,40;385,27;5,16;6191,90
01/07/96;1458,70;1985,57;383,47;5,07;6250,20
01/08/96;1463,36;2008,57;387,35;5,14;6110,20
01/09/96;1407,38;1941,45;383,14;5,04;6101,90
01/10/96;1336,34;1961,17;381,07;4,93;5941,90
01/11/96;1449,52;2230,86;377,85;4,83;5991,70
01/12/96;1500,29;2268,08;369,00;4,83;5836,30
01/01/97;1575,61;2434,93;355,11;4,77;5877,70
01/02/97;1580,01;2405,85;346,58;5,07;5883,20
01/03/97;1631,57;2421,29;351,81;5,20;5909,20
01/04/97;1561,44;2391,18;344,47;4,77;5713,30
01/05/97;1625,25;2514,33;343,84;4,75;5711,20
01/06/97;1567,55;2612,62;340,76;4,76;5566,10
01/07/97;1591,99;2450,46;324,10;4,37;5442,70
01/08/97;1710,58;2251,20;324,01;4,50;5428,40
01/09/97;1610,60;2107,30;322,82;4,73;5496,30
01/10/97;1607,86;2052,26;324,87;5,03;5561,30
01/11/97;1598,99;1917,45;306,04;5,08;5658,00
01/12/97;1530,51;1762,33;288,74;5,84;5513,80
01/01/98;1485,79;1688,45;289,10;5,89;5206,30
01/02/98;1465,56;1664,80;297,49;6,81;5242,50
01/03/98;1437,70;1747,98;295,94;6,24;5476,80
01/04/98;1418,16;1800,90;308,29;6,34;5714,80
01/05/98;1364,72;1732,53;299,10;5,58;5874,70
01/06/98;1307,24;1660,52;292,32;5,26;5970,00
01/07/98;1309,21;1651,04;292,87;5,46;5653,70
01/08/98;1310,90;1620,93;284,11;5,18;5691,50
01/09/98;1342,27;1647,64;288,98;5,00;5485,70
01/10/98;1304,06;1586,39;295,93;5,01;5432,10
01/11/98;1294,96;1573,95;294,12;4,97;5478,30
01/12/98;1249,06;1473,57;291,68;4,88;5257,60
01/01/99;1218,46;1431,18;287,08;5,14;5109,80
01/02/99;1186,85;1410,78;287,33;5,53;5268,50
01/03/99;1181,59;1378,35;285,96;5,19;5360,20
01/04/99;1278,20;1466,00;282,62;5,06;5393,00
01/05/99;1323,46;1511,16;276,44;5,26;5649,20
01/06/99;1315,31;1422,48;261,31;5,03;5265,90
01/07/99;1403,76;1640,00;256,08;5,18;5230,00
01/08/99;1431,32;1647,62;256,69;5,26;5230,20
01/09/99;1492,48;1750,34;264,74;5,21;5342,50
01/10/99;1474,41;1724,12;310,72;5,41;5430,70
01/11/99;1472,76;1727,55;293,18;5,15;5842,10
01/12/99;1554,48;1764,75;283,07;5,16;5721,30
01/01/00;1680,28;1843,98;284,32;5,19;5927,80
01/02/00;1670,27;1800,83;299,86;5,25;5642,10
01/03/00;1577,05;1739,39;286,39;5,06;5457,80
01/04/00;1457,14;1678,75;279,69;5,06;5384,40
01/05/00;1466,79;1785,62;275,19;4,98;5451,20
01/06/00;1506,31;1753,18;285,73;5,00;5456,80
01/07/00;1563,50;1799,36;281,59;4,97;5343,80
01/08/00;1527,63;1855,86;274,47;4,89;5304,80
01/09/00;1601,21;1960,41;273,68;4,89;5474,30
01/10/00;1500,24;1898,59;270,00;4,83;5282,30
01/11/00;1473,86;1795,11;266,01;4,68;5269,50
01/12/00;1565,41;1850,55;271,45;4,64;5233,70
01/01/01;1615,65;1787,50;265,49;4,66;5170,50
01/02/01;1604,36;1765,65;261,87;4,56;5121,80
01/03/01;1509,17;1738,77;263,03;4,40;5046,40
01/04/01;1496,91;1664,16;260,48;4,37;4949,20
01/05/01;1538,77;1682,21;272,36;4,43;4945,00
01/06/01;1466,13;1608,45;270,23;4,37;4828,30
01/07/01;1416,39;1525,21;267,53;4,25;4350,90
01/08/01;1377,08;1464,43;272,39;4,22;3895,70
01/09/01;1344,56;1426,33;283,42;4,35;3694,50
01/10/01;1282,50;1377,28;283,06;4,40;3750,70
01/11/01;1327,46;1427,73;276,16;4,12;4041,80
01/12/01;1344,63;1471,74;275,85;4,37;4018,50
01/01/02;1368,59;1503,96;281,51;4,51;3861,90
01/02/02;1369,34;1561,90;295,50;4,42;3730,80
01/03/02;1405,00;1604,88;294,06;4,54;3842,80
01/04/02;1369,99;1590,33;302,68;4,58;4023,60
01/05/02;1343,30;1595,68;314,49;4,70;4149,80
01/06/02;1353,97;1647,53;321,18;4,90;4286,10
01/07/02;1338,09;1589,46;313,29;4,92;4331,30
01/08/02;1291,60;1479,55;310,26;4,54;3834,00
01/09/02;1301,25;1478,71;319,14;4,55;3957,40
01/10/02;1310,58;1483,76;316,56;4,40;4241,50
01/11/02;1372,20;1582,29;319,07;4,51;4230,00
01/12/02;1375,07;1595,68;331,92;4,63;4236,80
01/01/03;1378,28;1647,66;356,86;4,81;4435,68
01/02/03;1422,16;1683,80;358,97;4,66;4570,75
01/03/03;1389,27;1658,98;340,55;4,53;4604,52
01/04/03;1332,01;1587,48;328,18;4,49;4565,75
01/05/03;1398,49;1648,28;355,68;4,74;4736,75
01/06/03;1409,85;1686,50;356,35;4,53;4694,76
01/07/03;1436,09;1710,00;351,02;4,80;4739,35
01/08/03;1456,31;1760,28;359,77;4,99;4822,50
01/09/03;1415,57;1789,52;378,95;5,17;4911,59
01/10/03;1474,25;1920,54;378,92;5,00;5236,74
01/11/03;1508,34;2055,43;389,91;5,18;5362,75
01/12/03;1554,91;2201,29;406,95;5,63;6057,62
01/01/04;1606,49;2423,57;413,79;6,30;6485,00
01/02/04;1685,63;2759,53;404,88;6,44;6672,75
01/03/04;1655,99;3008,72;406,67;7,23;7619,78
01/04/04;1729,74;2948,73;403,26;7,15;8955,75
01/05/04;1623,22;2733,50;383,78;5,87;9459,47
01/06/04;1677,72;2686,71;392,37;5,86;9204,77
01/07/04;1709,27;2808,43;398,09;6,31;9044,32
01/08/04;1692,19;2846,10;400,51;6,66;9021,91
01/09/04;1723,60;2894,86;405,28;6,40;9019,55
01/10/04;1819,57;3012,24;420,46;7,10;9045,24
01/11/04;1813,90;3122,80;439,38;7,49;9070,46
01/12/04;1849,18;3145,45;442,08;7,09;8553,81
01/01/05;1834,43;3170,00;424,03;6,62;7735,75
01/02/05;1882,85;3253,70;423,35;7,03;8088,75
01/03/05;1979,85;3379,49;433,85;7,23;8407,39
01/04/05;1894,29;3394,48;429,23;7,12;8143,81
01/05/05;1743,70;3249,10;421,87;7,02;8125,00
01/06/05;1731,30;3524,07;430,66;7,31;7618,86
01/07/05;1778,79;3614,21;424,48;7,01;7169,29
01/08/05;1867,84;3797,75;437,93;7,03;7188,86
01/09/05;1839,91;3857,84;456,05;7,15;6783,86
01/10/05;1928,71;4059,76;469,90;7,67;6422,86
01/11/05;2050,59;4269,34;476,67;7,87;6160,00
01/12/05;2247,45;4576,78;510,10;8,63;6713,50
01/01/06;2377,86;4734,33;549,86;9,14;7051,43
01/02/06;2455,33;4982,40;555,00;9,53;7826,25
01/03/06;2429,13;5102,85;557,09;10,38;7939,57
01/04/06;2621,11;6387,78;610,65;12,61;8853,06
01/05/06;2861,48;8045,86;675,39;13,38;8837,38
01/06/06;2477,34;7197,61;596,15;10,80;7896,36
01/07/06;2512,71;7712,10;633,71;11,23;8418,57
01/08/06;2459,93;7695,66;632,59;12,19;8502,05
01/09/06;2472,88;7602,36;598,19;11,68;9039,29
01/10/06;2654,59;7500,39;585,78;11,56;9768,18
01/11/06;2702,80;7029,18;627,83;12,93;10079,09
01/12/06;2813,63;6675,11;629,79;13,28;11158,68
01/01/07;2809,34;5669,66;631,17;12,84;11361,82
01/02/07;2832,20;5676,45;664,75;13,91;12933,25
01/03/07;2761,73;6452,48;654,90;13,18;13892,96
01/04/07;2814,79;7766,47;679,37;13,72;14052,90
01/05/07;2792,75;7681,42;667,31;13,15;14140,00
01/06/07;2676,93;7474,38;655,66;13,14;14099,76
01/07/07;2732,44;7972,57;665,38;12,91;14737,84
01/08/07;2515,77;7513,50;665,41;12,33;15174,32
01/09/07;2391,25;7648,98;712,65;12,83;15023,00
01/10/07;2442,37;8008,44;754,60;13,67;16071,30
01/11/07;2506,89;6966,71;806,25;14,70;16691,82
01/12/07;2381,69;6587,67;803,20;14,30;16263,06
01/01/08;2445,52;7061,02;889,60;15,91;16337,27
01/02/08;2776,93;7887,69;922,30;17,57;17210,00
01/03/08;3005,29;8439,29;968,43;19,32;19803,95
01/04/08;2959,27;8684,93;909,71;17,50;21658,64
01/05/08;2902,90;8382,75;888,66;17,06;24062,25
01/06/08;2957,86;8260,60;889,49;16,97;22229,29
01/07/08;3071,24;8414,04;939,77;18,03;23139,35
01/08/08;2764,38;7634,70;839,03;14,64;20026,25
01/09/08;2525,82;6990,86;829,93;12,37;18368,86
01/10/08;2121,41;4925,70;806,62;10,44;14401,74
01/11/08;1852,43;3717,00;760,86;9,87;13643,50
01/12/08;1490,43;3071,98;816,09;10,29;11240,00
01/01/09;1413,12;3220,69;858,69;11,27;11372,86
01/02/09;1330,20;3314,73;943,00;13,41;11039,25
01/03/09;1335,84;3749,75;924,27;13,12;10675,91
01/04/09;1420,85;4406,55;890,20;12,48;11743,50
01/05/09;1460,45;4568,63;928,65;13,98;13793,42
01/06/09;1573,73;5013,96;945,67;14,65;14985,68
01/07/09;1667,96;5215,54;934,23;13,36;14038,91
01/08/09;1933,75;6165,30;949,38;14,36;14869,75
01/09/09;1834,11;6196,43;996,59;16,39;14869,09
01/10/09;1878,57;6287,98;1043,16;17,24;15008,86
01/11/09;1949,29;6675,60;1127,04;17,82;14942,38
01/12/09;2180,10;6981,71;1134,72;17,64;15546,91
01/01/10;2235,15;7386,25;1117,96;17,75;17714,75
01/02/10;2048,93;6848,18;1095,41;15,87;16361,75
01/03/10;2205,63;7462,83;1113,34;17,11;17549,35
01/04/10;2316,73;7745,08;1148,69;18,06;18683,50
01/05/10;2040,53;6837,68;1205,43;18,43;17566,05
01/06/10;1931,39;6499,30;1232,92;18,45;17319,77
01/07/10;1988,27;6735,25;1192,97;17,96;18191,36
01/08/10;2118,14;7283,95;1215,81;18,39;20754,76
01/09/10;2162,34;7709,30;1270,98;20,55;22701,14
01/10/10;2346,57;8292,41;1342,02;23,39;26342,62
01/11/10;2333,07;8469,89;1369,89;26,54;25519,09
01/12/10;2350,67;9147,26;1390,55;29,32;26163,33
01/01/11;2439,53;9555,70;1360,46;28,51;27465,25
01/02/11;2508,18;9867,60;1374,68;30,78;31526,00
01/03/11;2555,50;9503,36;1423,26;35,81;30590,93
01/04/11;2678,11;9492,79;1480,89;42,70;32363,31
01/05/11;2596,45;8959,90;1512,58;37,34;28676,45
01/06/11;2557,76;9066,85;1529,36;35,80;25519,68
01/07/11;2525,43;9650,46;1572,75;37,92;27398,10
01/08/11;2379,35;9000,76;1759,01;40,33;24042,43
01/09/11;2293,46;8300,14;1772,14;38,15;22526,60
01/10/11;2180,65;7394,19;1666,43;31,97;21868,64
01/11/11;2079,98;7581,02;1739,00;33,08;21291,70
01/12/11;2022,25;7565,48;1639,97;30,30;19375,01
01/01/12;2144,20;8040,47;1654,05;30,65;21438,63
01/02/12;2207,92;8441,49;1744,82;34,14;24293,31
01/03/12;2184,16;8470,78;1675,95;32,95;22985,43
01/04/12;2049,67;8289,48;1649,20;31,53;22200,62
01/05/12;2007,63;7955,64;1589,04;28,72;20405,24
01/06/12;1890,18;7423,02;1598,76;27,98;19271,07
01/07/12;1876,25;7584,26;1594,29;27,43;18546,09
01/08/12;1845,38;7515,53;1630,31;28,80;18772,62
01/09/12;2064,12;8087,74;1744,81;33,61;20771,26
01/10/12;1974,30;8062,03;1746,58;33,19;21233,70
01/11/12;1948,83;7711,23;1721,64;32,77;20713,07
01/12/12;2086,76;7966,49;1684,76;31,87;22880,89
01/01/13;2037,75;8047,36;1671,85;31,06;24545,90
01/02/13;2053,60;8060,93;1627,57;30,33;24211,74
01/03/13;1909,57;7645,58;1593,09;28,79;23296,52
01/04/13;1861,67;7234,28;1487,86;25,36;21662,25
01/05/13;1832,02;7249,41;1414,03;23,04;20775,83
01/06/13;1814,54;7000,24;1343,35;21,11;20267,40
01/07/13;1769,61;6906,64;1285,52;19,71;19563,83
01/08/13;1817,62;7192,92;1351,74;21,89;21644,43
01/09/13;1761,30;7159,27;1348,60;22,56;22735,07
01/10/13;1814,58;7203,02;1316,58;21,92;23101,59
01/11/13;1747,96;7070,65;1275,86;20,76;22826,88
01/12/13;1739,81;7214,90;1221,51;19,67;22762,13
01/01/14;1727,41;7291,47;1244,27;19,88;22063,86
01/02/14;1695,17;7149,21;1299,58;20,85;22820,67
01/03/14;1705,37;6650,04;1336,08;20,72;23024,31
01/04/14;1810,67;6673,56;1298,45;19,74;23405,20
01/05/14;1751,05;6891,13;1288,74;19,34;23271,25
01/06/14;1838,95;6821,14;1279,10;19,89;22762,00
01/07/14;1948,30;7113,38;1310,59;20,92;22424,01
01/08/14;2030,49;7001,84;1295,13;19,74;22231,05
01/09/14;1990,43;6872,22;1236,55;18,37;21090,52
01/10/14;1946,19;6737,48;1222,49;17,16;19830,41
01/11/14;2055,55;6712,85;1175,33;15,97;20033,47
01/12/14;1909,46;6446,45;1200,62;16,30;19829,71
01/01/15;1814,72;5830,54;1250,75;17,24;19454,12
01/02/15;1817,82;5729,27;1227,08;16,79;18233,91
01/03/15;1773,86;5939,67;1178,63;16,24;17421,91
01/04/15;1819,19;6042,09;1198,93;16,34;15900,88
01/05/15;1804,04;6294,78;1198,63;16,83;15803,59
01/06/15;1687,73;5833,01;1181,50;16,08;15064,94
01/07/15;1639,50;5456,75;1128,31;15,05;15071,53
01/08/15;1548,13;5127,30;1117,93;14,94;15163,77
01/09/15;1589,60;5217,25;1124,77;14,75;15453,34
01/10/15;1516,49;5216,09;1159,25;15,81;15794,61
01/11/15;1467,89;4799,90;1086,44;14,45;14745,29
01/12/15;1497,20;4638,83;1075,74;14,13;14691,69
01/01/16;1481,10;4471,79;1097,91;14,11;13808,08
01/02/16;1531,26;4598,62;1199,50;15,17;15610,14
01/03/16;1531,01;4953,80;1245,14;15,47;16897,60
01/04/16;1571,23;4872,74;1242,26;16,36;17032,71
01/05/16;1550,63;4694,54;1260,95;16,95;16706,95
01/06/16;1593,51;4641,97;1276,40;17,29;16966,69
01/07/16;1629,05;4864,90;1336,66;19,99;17826,23
01/08/16;1639,28;4751,67;1340,17;19,59;18427,02
01/09/16;1592,36;4722,20;1326,61;19,36;19499,52
01/10/16;1665,90;4731,26;1266,55;17,66;20099,76
01/11/16;1737,11;5450,93;1238,35;17,41;21126,09
01/12/16;1727,74;5660,35;1157,36;16,43;21204,35
01/01/17;1791,24;5754,56;1192,10;16,90;20691,79
01/02/17;1860,75;5940,91;1234,20;17,93;19446,47
01/03/17;1901,47;5824,63;1231,42;17,63;19875,20
01/04/17;1921,22;5683,90;1266,88;18,03;19910,32
01/05/17;1913,02;5599,56;1246,04;16,75;20200,33
01/06/17;1885,29;5719,76;1260,26;16,93;19658,84
01/07/17;1902,96;5985,12;1236,84;16,15;20223,48
01/08/17;2030,01;6485,63;1283,04;16,95;20521,00
01/09/17;2096,49;6577,17;1314,07;17,43;20796,62
01/10/17;2131,49;6807,60;1279,51;16,94;20376,09
01/11/17;2097,44;6826,55;1281,90;16,98;19557,52
01/12/17;2080,47;6833,89;1264,45;16,17;19476,37
01/01/18;2209,73;7065,85;1331,30;17,13;20696,91
01/02/18;2181,79;7006,52;1330,73;16,58;21651,55
01/03/18;2069,24;6799,18;1324,66;16,47;21211,94
01/04/18;2254,69;6851,51;1334,76;16,65;21291,10
01/05/18;2299,67;6825,27;1303,45;16,49;20858,83
01/06/18;2237,62;6965,86;1281,57;16,54;20660,52
01/07/18;2082,24;6250,75;1237,71;15,72;19729,80
01/08/18;2051,51;6051,05;1201,71;14,99;19228,77
01/09/18;2026,46;6050,76;1198,39;14,27;18967,13
01/10/18;2029,86;6219,59;1215,39;14,60;19121,48
01/11/18;1938,51;6195,92;1220,65;14,35;19064,86
01/12/18;1920,38;6075,32;1250,40;14,77;19259,58
01/01/19;1853,72;5939,10;1291,75;15,62;20457,75
01/02/19;1862,99;6300,49;1320,07;15,82;21263,95
01/03/19;1871,21;6439,46;1300,90;15,30;21393,40
01/04/19;1845,42;6438,36;1285,91;15,06;20604,30
01/05/19;1781,26;6017,90;1283,70;14,66;19523,90
01/06/19;1755,95;5882,23;1359,04;15,04;19193,20
01/07/19;1796,99;5941,20;1412,89;15,79;17977,85
01/08/19;1740,68;5709,44;1500,41;17,22;16608,99
01/09/19;1753,51;5759,25;1510,58;18,16;16830,62
01/10/19;1725,96;5757,30;1494,81;17,65;16603,39
01/11/19;1774,79;5859,95;1470,79;17,17;16335,48
01/12/19;1771,38;6077,06;1479,13;17,14;17141,05
01/01/20;1773,09;6031,21;1560,67;17,97;17029,18
01/02/20;1688,10;5687,75;1597,10;17,88;16480,30
01/03/20;1610,89;5182,63;1591,93;14,88;15290,91
01/04/20;1459,93;5057,97;1683,17;15,07;14952,80
01/05/20;1466,37;5239,83;1715,91;16,26;15401,92
01/06/20;1568,57;5754,60;1732,22;17,71;16837,84
01/07/20;1643,81;6372,46;1846,51;20,65;17469,92
01/08/20;1737,26;6498,94;1968,63;27,00;17650,03
01/09/20;1743,77;6704,90;1921,92;25,74;17951,26
01/10/20;1806,10;6713,81;1900,27;24,23;18176,59
01/11/20;1935,28;7068,91;1866,30;24,08;18522,48
01/12/20;2014,67;7772,24;1858,42;24,97;19731,96
01/01/21;2003,98;7972,15;1866,98;25,88;21920,24
01/02/21;2078,59;8470,94;1808,17;27,29;26315,75
