Day;Al Price;Cu Price;Au Price;Ag Price
05/04/2021;2234,50;4,0540;1727,90;24,935
02/04/2021;2234,50;4,0035;1726,50;24,935
01/04/2021;2234,50;3,9850;1706,80;24,350
31/03/2021;2215,00;4,0060;1683,70;24,320
30/03/2021;2237,25;4,0355;1711,00;24,700
29/03/2021;2277,75;4,0650;1712,10;24,855
26/03/2021;2295,75;4,0125;1721,30;25,185
25/03/2021;2247,25;4,0055;1732,70;25,150
24/03/2021;2248,50;4,0475;1727,50;25,250
23/03/2021;2240,00;4,1335;1724,70;25,615
22/03/2021;2283,50;4,0975;1737,80;25,955
19/03/2021;2256,25;4,0565;1742,20;26,055
18/03/2021;2232,50;4,1550;1745,80;26,435
17/03/2021;2249,50;4,0680;1735,30;25,805
16/03/2021;2211,50;4,1050;1732,30;26,130
15/03/2021;2233,50;4,1700;1729,50;26,200
12/03/2021;2187,50;4,1410;1715,90;26,145
11/03/2021;2195,75;4,0465;1725,60;26,150
10/03/2021;2187,25;4,0275;1713,60;26,010
09/03/2021;2185,00;4,0915;1686,20;25,225
08/03/2021;2190,50;4,1275;1704,70;25,520
05/03/2021;2194,75;3,9660;1690,60;25,345
04/03/2021;2186,00;4,1195;1706,50;26,120
03/03/2021;2221,00;4,2185;1730,00;26,805
02/03/2021;2231,25;4,1150;1709,40;26,385
01/03/2021;2146,25;4,1105;1737,10;26,690
26/02/2021;2182,50;4,2125;1768,10;27,455
25/02/2021;2253,25;4,3080;1801,50;28,030
24/02/2021;2189,75;4,2200;1805,80;27,857
23/02/2021;2156,25;4,1875;1809,60;27,686
22/02/2021;2167,00;4,1230;1784,00;28,083
19/02/2021;2132,00;4,0900;1764,30;27,505
18/02/2021;2141,50;3,9215;1776,10;27,125
17/02/2021;2116,25;3,8305;1785,80;27,314
16/02/2021;2083,00;3,8425;1820,90;27,510
12/02/2021;2091,75;3,7860;1825,00;27,323
11/02/2021;2084,00;3,7850;1840,50;27,170
10/02/2021;2080,75;3,7665;1842,60;27,105
09/02/2021;2063,50;3,7080;1841,90;27,425
08/02/2021;2035,50;3,6475;1816,30;27,280
05/02/2021;2018,75;3,5755;1794,30;26,430
04/02/2021;1994,00;3,5670;1832,20;26,675
03/02/2021;1973,25;3,5520;1834,80;26,940
02/02/2021;1966,50;3,5265;1859,60;28,645
01/02/2021;1963,00;3,5665;1866,60;28,360
29/01/2021;1982,00;3,5815;1842,00;26,640
28/01/2021;1984,75;3,5510;1843,40;25,085
27/01/2021;1996,25;3,5715;1844,90;25,376
26/01/2021;2020,25;3,6290;1855,80;25,529
25/01/2021;2015,50;3,6330;1864,70;25,455
22/01/2021;1993,50;3,5750;1854,90;25,524
21/01/2021;2000,25;3,6590;1865,30;25,822
20/01/2021;1929,50;3,6390;1847,80;25,425
19/01/2021;1953,25;3,6200;1802,00;24,915
15/01/2021;1973,25;3,6290;1829,40;25,430
14/01/2021;1997,75;3,6120;1836,70;25,746
13/01/2021;2007,50;3,6355;1858,00;25,545
12/01/2021;2015,50;3,5760;1849,00;25,140
11/01/2021;2000,75;3,6735;1826,50;25,520
08/01/2021;2022,25;3,7165;1908,00;24,582
07/01/2021;2039,25;3,6590;1922,60;27,200
06/01/2021;2038,00;3,6505;1952,00;27,425
05/01/2021;2042,00;3,5900;1941,70;27,571
04/01/2021;2023,25;3,5590;1912,20;27,284
31/12/2020;1990,00;3,5440;1897,00;26,530
30/12/2020;2024,50;3,5590;1879,90;26,320
29/12/2020;2002,25;3,5660;1881,30;26,250
28/12/2020;2022,75;3,5805;1895,50;26,800
24/12/2020;;;;
23/12/2020;2022,75;3,5190;1867,00;25,555
22/12/2020;2007,50;3,5760;1882,20;26,475
21/12/2020;2035,25;3,5970;1884,80;26,005
18/12/2020;2071,25;3,6050;1882,40;26,120
17/12/2020;2061,00;3,5760;1874,20;25,450
16/12/2020;2044,25;3,5385;1856,50;25,150
15/12/2020;2025,00;3,5010;1833,50;24,075
14/12/2020;2050,00;3,5420;1835,50;24,160
11/12/2020;2018,00;3,5755;1838,50;23,985
10/12/2020;2054,75;3,4740;1833,20;23,945
09/12/2020;2038,25;3,4990;1867,10;24,655
08/12/2020;1991,75;3,5005;1863,00;24,755
07/12/2020;2017,75;3,4940;1836,50;24,235
04/12/2020;2043,50;3,4725;1840,70;24,120
03/12/2020;2023,75;3,4800;1829,20;24,100
02/12/2020;2058,50;3,4900;1811,30;23,915
01/12/2020;2052,75;3,4435;1775,00;22,665
30/11/2020;2029,75;3,4050;1785,00;22,740
27/11/2020;;;;
25/11/2020;1948,75;3,2940;1801,40;23,356
24/11/2020;1960,00;3,3070;1829,30;23,330
23/11/2020;1947,50;3,2785;1834,80;23,624
20/11/2020;1971,75;3,2640;1871,20;24,348
19/11/2020;1971,00;3,1995;1865,80;24,033
18/11/2020;1984,25;3,1980;1873,50;24,433
17/11/2020;1967,50;3,1965;1888,40;24,760
16/11/2020;1945,75;3,2395;1874,60;24,786
13/11/2020;1922,50;3,1275;1877,00;24,759
12/11/2020;1916,50;3,1520;1869,00;24,290
11/11/2020;1909,75;3,1075;1878,80;23,945
10/11/2020;1905,50;;;
06/04/2021;;4,1400;1729,20;24,905
